Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
23-24,199,1,Inver Grove Heights Schools,55,196,1,Rosemount-Apple Valley-Eagan
23-24,199,1,Inver Grove Heights Schools,42,197,1,West St. Paul-Mendota Heights-Eagan
23-24,199,1,Inver Grove Heights Schools,6,200,1,Hastings Public School District
23-24,199,1,Inver Grove Heights Schools,2,252,1,Cannon Falls Public School District
23-24,199,1,Inver Grove Heights Schools,1,270,1,Hopkins Public School District
23-24,199,1,Inver Grove Heights Schools,3,271,1,Bloomington Public School District
23-24,199,1,Inver Grove Heights Schools,1,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,199,1,Inver Grove Heights Schools,1,623,1,Roseville Public School District
23-24,199,1,Inver Grove Heights Schools,46,625,1,Saint Paul Public Schools
23-24,199,1,Inver Grove Heights Schools,1,831,1,Forest Lake Public School District
23-24,199,1,Inver Grove Heights Schools,28,833,1,South Washington County Schools
23-24,200,1,Hastings Public School District,2,1,3,Minneapolis Public School District
23-24,200,1,Hastings Public School District,2,12,1,Centennial Public School District
23-24,200,1,Hastings Public School District,4,192,1,Farmington Public School District
23-24,200,1,Hastings Public School District,2,195,1,Randolph Public School District
23-24,200,1,Hastings Public School District,8,196,1,Rosemount-Apple Valley-Eagan
23-24,200,1,Hastings Public School District,4,199,1,Inver Grove Heights Schools
23-24,200,1,Hastings Public School District,2,252,1,Cannon Falls Public School District
23-24,200,1,Hastings Public School District,35,256,1,Red Wing Public School District
23-24,200,1,Hastings Public School District,1,284,1,Wayzata Public School District
23-24,200,1,Hastings Public School District,6,625,1,Saint Paul Public Schools
23-24,200,1,Hastings Public School District,15,833,1,South Washington County Schools
23-24,200,1,Hastings Public School District,5,834,1,Stillwater Area Public Schools
23-24,203,1,Hayfield Public School District,5,204,1,Kasson-Mantorville School District
23-24,203,1,Hayfield Public School District,20,492,1,Austin Public School District
23-24,203,1,Hayfield Public School District,2,500,1,Southland Public School District
23-24,203,1,Hayfield Public School District,7,531,1,Byron Public School District
23-24,203,1,Hayfield Public School District,3,535,1,Rochester Public School District
23-24,203,1,Hayfield Public School District,11,756,1,Blooming Prairie Public School District
23-24,203,1,Hayfield Public School District,4,761,1,Owatonna Public School District
23-24,203,1,Hayfield Public School District,4,2125,1,Triton School District
23-24,204,1,Kasson-Mantorville School District,57,203,1,Hayfield Public School District
23-24,204,1,Kasson-Mantorville School District,14,255,1,Pine Island Public School District
23-24,204,1,Kasson-Mantorville School District,1,492,1,Austin Public School District
23-24,204,1,Kasson-Mantorville School District,30,531,1,Byron Public School District
23-24,204,1,Kasson-Mantorville School District,1,533,1,Dover-Eyota Public School District
23-24,204,1,Kasson-Mantorville School District,24,535,1,Rochester Public School District
23-24,204,1,Kasson-Mantorville School District,2,756,1,Blooming Prairie Public School District
23-24,204,1,Kasson-Mantorville School District,2,829,1,Waseca Public School District
23-24,204,1,Kasson-Mantorville School District,1,861,1,Winona Area Public School District
23-24,204,1,Kasson-Mantorville School District,144,2125,1,Triton School District
23-24,204,1,Kasson-Mantorville School District,3,2172,1,Kenyon-Wanamingo School District
23-24,206,1,Alexandria Public School District,16,213,1,Osakis Public School District
23-24,206,1,Alexandria Public School District,1,261,1,Ashby Public School District
23-24,206,1,Alexandria Public School District,3,542,1,Battle Lake Public School District
23-24,206,1,Alexandria Public School District,45,547,1,Parkers Prairie Public School District
23-24,206,1,Alexandria Public School District,1,553,1,New York Mills Public School District
23-24,206,1,Alexandria Public School District,3,743,1,Sauk Centre Public School District
23-24,206,1,Alexandria Public School District,1,750,1,ROCORI Public School District
23-24,206,1,Alexandria Public School District,1,786,1,Bertha-Hewitt Public School District
23-24,206,1,Alexandria Public School District,41,2149,1,Minnewaska School District
23-24,206,1,Alexandria Public School District,2,2170,1,Staples-Motley School District
23-24,206,1,Alexandria Public School District,27,2342,1,West Central Area
23-24,206,1,Alexandria Public School District,2,2753,1,Long Prairie-Grey Eagle School District
23-24,206,1,Alexandria Public School District,1,2769,1,Morris Area Public Schools
23-24,206,1,Alexandria Public School District,44,2908,1,Brandon-Evansville Public Schools
23-24,213,1,Osakis Public School District,106,206,1,Alexandria Public School District
23-24,213,1,Osakis Public School District,3,740,1,Melrose Public School District
23-24,213,1,Osakis Public School District,33,743,1,Sauk Centre Public School District
23-24,213,1,Osakis Public School District,1,786,1,Bertha-Hewitt Public School District
23-24,213,1,Osakis Public School District,24,787,1,Browerville Public School District
23-24,213,1,Osakis Public School District,53,2149,1,Minnewaska School District
23-24,213,1,Osakis Public School District,99,2753,1,Long Prairie-Grey Eagle School District
23-24,213,1,Osakis Public School District,2,2908,1,Brandon-Evansville Public Schools
23-24,227,1,Chatfield Public Schools,1,534,1,Stewartville Public School District
23-24,227,1,Chatfield Public Schools,4,535,1,Rochester Public School District
23-24,227,1,Chatfield Public Schools,1,857,1,Lewiston-Altura Public School District
23-24,227,1,Chatfield Public Schools,4,858,1,St. Charles Public School District
23-24,227,1,Chatfield Public Schools,4,2137,1,Kingsland Public School District
23-24,227,1,Chatfield Public Schools,6,2198,1,Yellow Medicine East
23-24,229,1,Lanesboro Public School District,27,227,1,Chatfield Public Schools
23-24,229,1,Lanesboro Public School District,23,238,1,Mabel-Canton Public School District
23-24,229,1,Lanesboro Public School District,31,239,1,Rushford-Peterson Public Schools
23-24,229,1,Lanesboro Public School District,2,297,1,Spring Grove School District
23-24,229,1,Lanesboro Public School District,2,857,1,Lewiston-Altura Public School District
23-24,229,1,Lanesboro Public School District,1,861,1,Winona Area Public School District
23-24,229,1,Lanesboro Public School District,7,2137,1,Kingsland Public School District
23-24,229,1,Lanesboro Public School District,101,2198,1,Yellow Medicine East
23-24,238,1,Mabel-Canton Public School District,4,2198,1,Yellow Medicine East
23-24,239,1,Rushford-Peterson Public Schools,12,229,1,Lanesboro Public School District
23-24,239,1,Rushford-Peterson Public Schools,1,238,1,Mabel-Canton Public School District
23-24,239,1,Rushford-Peterson Public Schools,14,294,1,Houston Public School District
23-24,239,1,Rushford-Peterson Public Schools,1,297,1,Spring Grove School District
23-24,239,1,Rushford-Peterson Public Schools,1,535,1,Rochester Public School District
23-24,239,1,Rushford-Peterson Public Schools,14,857,1,Lewiston-Altura Public School District
23-24,239,1,Rushford-Peterson Public Schools,59,861,1,Winona Area Public School District
23-24,241,1,Albert Lea Public School District,15,242,1,Alden-Conger Public School District
23-24,241,1,Albert Lea Public School District,6,492,1,Austin Public School District
23-24,241,1,Albert Lea Public School District,1,625,1,Saint Paul Public Schools
23-24,241,1,Albert Lea Public School District,1,756,1,Blooming Prairie Public School District
23-24,241,1,Albert Lea Public School District,23,2134,1,United South Central School District
23-24,241,1,Albert Lea Public School District,16,2168,1,NRHEG School District
23-24,241,1,Albert Lea Public School District,2,2860,1,Blue Earth Area School District
23-24,241,1,Albert Lea Public School District,67,2886,1,Glenville-Emmons School District
23-24,242,1,Alden-Conger Public School District,141,241,1,Albert Lea Public School District
23-24,242,1,Alden-Conger Public School District,76,2134,1,United South Central School District
23-24,242,1,Alden-Conger Public School District,9,2168,1,NRHEG School District
23-24,242,1,Alden-Conger Public School District,22,2886,1,Glenville-Emmons School District
23-24,252,1,Cannon Falls Public School District,30,195,1,Randolph Public School District
23-24,252,1,Cannon Falls Public School District,14,200,1,Hastings Public School District
23-24,252,1,Cannon Falls Public School District,7,253,1,Goodhue Public School District
23-24,252,1,Cannon Falls Public School District,14,256,1,Red Wing Public School District
23-24,252,1,Cannon Falls Public School District,2,656,1,Faribault Public School District
23-24,252,1,Cannon Falls Public School District,9,659,1,Northfield Public School District
23-24,252,1,Cannon Falls Public School District,1,833,1,South Washington County Schools
23-24,252,1,Cannon Falls Public School District,21,2172,1,Kenyon-Wanamingo School District
23-24,252,1,Cannon Falls Public School District,1,2805,1,Zumbrota-Mazeppa School District
23-24,253,1,Goodhue Public School District,8,252,1,Cannon Falls Public School District
23-24,253,1,Goodhue Public School District,1,255,1,Pine Island Public School District
23-24,253,1,Goodhue Public School District,115,256,1,Red Wing Public School District
23-24,253,1,Goodhue Public School District,2,535,1,Rochester Public School District
23-24,253,1,Goodhue Public School District,6,813,1,Lake City Public School District
23-24,253,1,Goodhue Public School District,1,2172,1,Kenyon-Wanamingo School District
23-24,253,1,Goodhue Public School District,41,2805,1,Zumbrota-Mazeppa School District
23-24,255,1,Pine Island Public School District,2,203,1,Hayfield Public School District
23-24,255,1,Pine Island Public School District,8,204,1,Kasson-Mantorville School District
23-24,255,1,Pine Island Public School District,1,253,1,Goodhue Public School District
23-24,255,1,Pine Island Public School District,4,531,1,Byron Public School District
23-24,255,1,Pine Island Public School District,278,535,1,Rochester Public School District
23-24,255,1,Pine Island Public School District,1,813,1,Lake City Public School District
23-24,255,1,Pine Island Public School District,1,858,1,St. Charles Public School District
23-24,255,1,Pine Island Public School District,12,2125,1,Triton School District
23-24,255,1,Pine Island Public School District,7,2172,1,Kenyon-Wanamingo School District
23-24,255,1,Pine Island Public School District,45,2805,1,Zumbrota-Mazeppa School District
23-24,256,1,Red Wing Public School District,5,200,1,Hastings Public School District
23-24,256,1,Red Wing Public School District,4,252,1,Cannon Falls Public School District
23-24,256,1,Red Wing Public School District,1,253,1,Goodhue Public School District
23-24,256,1,Red Wing Public School District,2,535,1,Rochester Public School District
23-24,256,1,Red Wing Public School District,7,813,1,Lake City Public School District
23-24,256,1,Red Wing Public School District,1,833,1,South Washington County Schools
23-24,256,1,Red Wing Public School District,3,2805,1,Zumbrota-Mazeppa School District
23-24,261,1,Ashby Public School District,9,542,1,Battle Lake Public School District
23-24,261,1,Ashby Public School District,30,544,1,Fergus Falls Public School District
23-24,261,1,Ashby Public School District,2,547,1,Parkers Prairie Public School District
23-24,261,1,Ashby Public School District,6,550,1,Underwood Public School District
23-24,261,1,Ashby Public School District,42,2342,1,West Central Area
23-24,261,1,Ashby Public School District,53,2908,1,Brandon-Evansville Public Schools
23-24,264,1,Herman-Norcross School District,11,803,1,Wheaton Area Public School District
23-24,264,1,Herman-Norcross School District,1,852,1,Campbell-Tintah Public School District
23-24,264,1,Herman-Norcross School District,4,2342,1,West Central Area
23-24,264,1,Herman-Norcross School District,10,2769,1,Morris Area Public Schools
23-24,270,1,Hopkins Public School District,711,1,3,Minneapolis Public School District
23-24,270,1,Hopkins Public School District,1,6,3,South St. Paul Public School District
23-24,270,1,Hopkins Public School District,27,11,1,Anoka-Hennepin Public School District
23-24,270,1,Hopkins Public School District,1,12,1,Centennial Public School District
23-24,270,1,Hopkins Public School District,2,13,1,Columbia Heights Public School District
23-24,270,1,Hopkins Public School District,4,14,1,Fridley Public School District
23-24,270,1,Hopkins Public School District,7,16,1,Spring Lake Park Public Schools
23-24,270,1,Hopkins Public School District,1,108,1,Central Public School District
23-24,270,1,Hopkins Public School District,8,110,1,Waconia Public School District
23-24,270,1,Hopkins Public School District,18,112,1,Eastern Carver County Public Schools
23-24,270,1,Hopkins Public School District,1,138,1,North Branch Area Public Schools
23-24,270,1,Hopkins Public School District,10,191,1,Burnsville-Eagan-Savage School District
23-24,270,1,Hopkins Public School District,2,194,1,Lakeville Area Schools
23-24,270,1,Hopkins Public School District,2,196,1,Rosemount-Apple Valley-Eagan
23-24,270,1,Hopkins Public School District,2,199,1,Inver Grove Heights Schools
23-24,270,1,Hopkins Public School District,24,271,1,Bloomington Public School District
23-24,270,1,Hopkins Public School District,58,272,1,Eden Prairie Public School District
23-24,270,1,Hopkins Public School District,13,273,1,Edina Public School District
23-24,270,1,Hopkins Public School District,38,276,1,Minnetonka Public School District
23-24,270,1,Hopkins Public School District,7,277,1,Westonka Public School District
23-24,270,1,Hopkins Public School District,4,278,1,Orono Public School District
23-24,270,1,Hopkins Public School District,105,279,1,Osseo Public School District
23-24,270,1,Hopkins Public School District,5,280,1,Richfield Public School District
23-24,270,1,Hopkins Public School District,666,281,1,Robbinsdale Public School District
23-24,270,1,Hopkins Public School District,171,283,1,St. Louis Park Public School District
23-24,270,1,Hopkins Public School District,86,284,1,Wayzata Public School District
23-24,270,1,Hopkins Public School District,21,286,1,Brooklyn Center Community Schools
23-24,270,1,Hopkins Public School District,1,535,1,Rochester Public School District
23-24,270,1,Hopkins Public School District,1,623,1,Roseville Public School District
23-24,270,1,Hopkins Public School District,1,624,1,White Bear Lake School District
23-24,270,1,Hopkins Public School District,9,625,1,Saint Paul Public Schools
23-24,270,1,Hopkins Public School District,1,716,1,Belle Plaine Public School District
23-24,270,1,Hopkins Public School District,2,717,1,Jordan Public School District
23-24,270,1,Hopkins Public School District,13,720,1,Shakopee Public School District
23-24,270,1,Hopkins Public School District,1,721,1,New Prague Area Schools
23-24,270,1,Hopkins Public School District,7,728,1,Elk River Public School District
23-24,270,1,Hopkins Public School District,1,742,1,St. Cloud Public School District
23-24,270,1,Hopkins Public School District,2,831,1,Forest Lake Public School District
23-24,270,1,Hopkins Public School District,1,832,1,Mahtomedi Public School District
23-24,270,1,Hopkins Public School District,1,833,1,South Washington County Schools
23-24,270,1,Hopkins Public School District,1,834,1,Stillwater Area Public Schools
23-24,270,1,Hopkins Public School District,1,876,1,Annandale Public School District
23-24,270,1,Hopkins Public School District,1,877,1,Buffalo-Hanover-Montrose Schools
23-24,270,1,Hopkins Public School District,5,879,1,Delano Public School District
23-24,270,1,Hopkins Public School District,1,882,1,Monticello Public School District
23-24,270,1,Hopkins Public School District,2,885,1,St. Michael-Albertville School District
23-24,270,1,Hopkins Public School District,1,2859,1,Glencoe-Silver Lake School District
23-24,271,1,Bloomington Public School District,174,1,3,Minneapolis Public School District
23-24,271,1,Bloomington Public School District,9,6,3,South St. Paul Public School District
23-24,271,1,Bloomington Public School District,2,11,1,Anoka-Hennepin Public School District
23-24,271,1,Bloomington Public School District,1,12,1,Centennial Public School District
23-24,271,1,Bloomington Public School District,1,13,1,Columbia Heights Public School District
23-24,271,1,Bloomington Public School District,7,14,1,Fridley Public School District
23-24,271,1,Bloomington Public School District,1,15,1,St. Francis Area Schools
23-24,271,1,Bloomington Public School District,1,77,1,Mankato Public School District
23-24,271,1,Bloomington Public School District,3,94,1,Cloquet Public School District
23-24,271,1,Bloomington Public School District,1,110,1,Waconia Public School District
23-24,271,1,Bloomington Public School District,1,111,1,Watertown-Mayer Public School District
23-24,271,1,Bloomington Public School District,7,112,1,Eastern Carver County Public Schools
23-24,271,1,Bloomington Public School District,119,191,1,Burnsville-Eagan-Savage School District
23-24,271,1,Bloomington Public School District,13,192,1,Farmington Public School District
23-24,271,1,Bloomington Public School District,10,194,1,Lakeville Area Schools
23-24,271,1,Bloomington Public School District,35,196,1,Rosemount-Apple Valley-Eagan
23-24,271,1,Bloomington Public School District,10,197,1,West St. Paul-Mendota Heights-Eagan
23-24,271,1,Bloomington Public School District,1,252,1,Cannon Falls Public School District
23-24,271,1,Bloomington Public School District,17,270,1,Hopkins Public School District
23-24,271,1,Bloomington Public School District,32,272,1,Eden Prairie Public School District
23-24,271,1,Bloomington Public School District,17,273,1,Edina Public School District
23-24,271,1,Bloomington Public School District,5,279,1,Osseo Public School District
23-24,271,1,Bloomington Public School District,208,280,1,Richfield Public School District
23-24,271,1,Bloomington Public School District,8,281,1,Robbinsdale Public School District
23-24,271,1,Bloomington Public School District,5,283,1,St. Louis Park Public School District
23-24,271,1,Bloomington Public School District,2,316,1,Greenway Public School District
23-24,271,1,Bloomington Public School District,1,318,1,Grand Rapids Public School District
23-24,271,1,Bloomington Public School District,2,381,1,Lake Superior Public School District
23-24,271,1,Bloomington Public School District,1,463,1,Eden Valley-Watkins School District
23-24,271,1,Bloomington Public School District,1,535,1,Rochester Public School District
23-24,271,1,Bloomington Public School District,2,577,1,Willow River Public School District
23-24,271,1,Bloomington Public School District,5,621,1,Mounds View Public School District
23-24,271,1,Bloomington Public School District,3,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,271,1,Bloomington Public School District,2,624,1,White Bear Lake School District
23-24,271,1,Bloomington Public School District,17,625,1,Saint Paul Public Schools
23-24,271,1,Bloomington Public School District,3,656,1,Faribault Public School District
23-24,271,1,Bloomington Public School District,2,659,1,Northfield Public School District
23-24,271,1,Bloomington Public School District,1,717,1,Jordan Public School District
23-24,271,1,Bloomington Public School District,19,719,1,Prior Lake-Savage Area Schools
23-24,271,1,Bloomington Public School District,31,720,1,Shakopee Public School District
23-24,271,1,Bloomington Public School District,2,727,1,Big Lake Public School District
23-24,271,1,Bloomington Public School District,1,728,1,Elk River Public School District
23-24,271,1,Bloomington Public School District,1,738,1,Holdingford Public School District
23-24,271,1,Bloomington Public School District,7,742,1,St. Cloud Public School District
23-24,271,1,Bloomington Public School District,1,761,1,Owatonna Public School District
23-24,271,1,Bloomington Public School District,8,833,1,South Washington County Schools
23-24,271,1,Bloomington Public School District,3,834,1,Stillwater Area Public Schools
23-24,271,1,Bloomington Public School District,1,877,1,Buffalo-Hanover-Montrose Schools
23-24,271,1,Bloomington Public School District,2,882,1,Monticello Public School District
23-24,271,1,Bloomington Public School District,2,2142,1,St. Louis County School District
23-24,271,1,Bloomington Public School District,1,2144,1,Chisago Lakes School District
23-24,271,1,Bloomington Public School District,3,2711,1,Mesabi East School District
23-24,271,1,Bloomington Public School District,1,2859,1,Glencoe-Silver Lake School District
23-24,271,1,Bloomington Public School District,1,2860,1,Blue Earth Area School District
23-24,272,1,Eden Prairie Public School District,158,1,3,Minneapolis Public School District
23-24,272,1,Eden Prairie Public School District,38,11,1,Anoka-Hennepin Public School District
23-24,272,1,Eden Prairie Public School District,1,12,1,Centennial Public School District
23-24,272,1,Eden Prairie Public School District,6,13,1,Columbia Heights Public School District
23-24,272,1,Eden Prairie Public School District,2,14,1,Fridley Public School District
23-24,272,1,Eden Prairie Public School District,1,15,1,St. Francis Area Schools
23-24,272,1,Eden Prairie Public School District,3,22,1,Detroit Lakes Public School District
23-24,272,1,Eden Prairie Public School District,1,47,1,Sauk Rapids-Rice Public Schools
23-24,272,1,Eden Prairie Public School District,3,77,1,Mankato Public School District
23-24,272,1,Eden Prairie Public School District,1,88,1,New Ulm Public School District
23-24,272,1,Eden Prairie Public School District,1,97,1,Moose Lake Public School District
23-24,272,1,Eden Prairie Public School District,9,110,1,Waconia Public School District
23-24,272,1,Eden Prairie Public School District,2,111,1,Watertown-Mayer Public School District
23-24,272,1,Eden Prairie Public School District,204,112,1,Eastern Carver County Public Schools
23-24,272,1,Eden Prairie Public School District,2,113,1,Walker-Hackensack-Akeley School District
23-24,272,1,Eden Prairie Public School District,3,139,1,Rush City Public School District
23-24,272,1,Eden Prairie Public School District,5,152,1,Moorhead Area Public School District
23-24,272,1,Eden Prairie Public School District,2,181,1,Brainerd Public School District
23-24,272,1,Eden Prairie Public School District,1,182,1,Crosby-Ironton Public School District
23-24,272,1,Eden Prairie Public School District,41,191,1,Burnsville-Eagan-Savage School District
23-24,272,1,Eden Prairie Public School District,8,192,1,Farmington Public School District
23-24,272,1,Eden Prairie Public School District,4,194,1,Lakeville Area Schools
23-24,272,1,Eden Prairie Public School District,11,196,1,Rosemount-Apple Valley-Eagan
23-24,272,1,Eden Prairie Public School District,8,197,1,West St. Paul-Mendota Heights-Eagan
23-24,272,1,Eden Prairie Public School District,2,241,1,Albert Lea Public School District
23-24,272,1,Eden Prairie Public School District,109,270,1,Hopkins Public School District
23-24,272,1,Eden Prairie Public School District,99,271,1,Bloomington Public School District
23-24,272,1,Eden Prairie Public School District,16,273,1,Edina Public School District
23-24,272,1,Eden Prairie Public School District,43,276,1,Minnetonka Public School District
23-24,272,1,Eden Prairie Public School District,4,277,1,Westonka Public School District
23-24,272,1,Eden Prairie Public School District,1,278,1,Orono Public School District
23-24,272,1,Eden Prairie Public School District,22,279,1,Osseo Public School District
23-24,272,1,Eden Prairie Public School District,14,280,1,Richfield Public School District
23-24,272,1,Eden Prairie Public School District,15,281,1,Robbinsdale Public School District
23-24,272,1,Eden Prairie Public School District,14,283,1,St. Louis Park Public School District
23-24,272,1,Eden Prairie Public School District,10,284,1,Wayzata Public School District
23-24,272,1,Eden Prairie Public School District,1,286,1,Brooklyn Center Community Schools
23-24,272,1,Eden Prairie Public School District,1,300,1,La Crescent-Hokah School District
23-24,272,1,Eden Prairie Public School District,1,309,1,Park Rapids Public School District
23-24,272,1,Eden Prairie Public School District,1,318,1,Grand Rapids Public School District
23-24,272,1,Eden Prairie Public School District,2,319,1,Nashwauk-Keewatin School District
23-24,272,1,Eden Prairie Public School District,2,332,1,Mora Public School District
23-24,272,1,Eden Prairie Public School District,1,413,1,Marshall Public School District
23-24,272,1,Eden Prairie Public School District,1,492,1,Austin Public School District
23-24,272,1,Eden Prairie Public School District,1,534,1,Stewartville Public School District
23-24,272,1,Eden Prairie Public School District,5,535,1,Rochester Public School District
23-24,272,1,Eden Prairie Public School District,1,577,1,Willow River Public School District
23-24,272,1,Eden Prairie Public School District,1,578,1,Pine City Public School District
23-24,272,1,Eden Prairie Public School District,3,599,1,Fertile-Beltrami School District
23-24,272,1,Eden Prairie Public School District,3,621,1,Mounds View Public School District
23-24,272,1,Eden Prairie Public School District,13,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,272,1,Eden Prairie Public School District,2,623,1,Roseville Public School District
23-24,272,1,Eden Prairie Public School District,13,625,1,Saint Paul Public Schools
23-24,272,1,Eden Prairie Public School District,1,656,1,Faribault Public School District
23-24,272,1,Eden Prairie Public School District,2,659,1,Northfield Public School District
23-24,272,1,Eden Prairie Public School District,1,682,1,Roseau Public School District
23-24,272,1,Eden Prairie Public School District,2,709,1,Duluth Public School District
23-24,272,1,Eden Prairie Public School District,12,716,1,Belle Plaine Public School District
23-24,272,1,Eden Prairie Public School District,4,717,1,Jordan Public School District
23-24,272,1,Eden Prairie Public School District,25,719,1,Prior Lake-Savage Area Schools
23-24,272,1,Eden Prairie Public School District,140,720,1,Shakopee Public School District
23-24,272,1,Eden Prairie Public School District,7,721,1,New Prague Area Schools
23-24,272,1,Eden Prairie Public School District,2,728,1,Elk River Public School District
23-24,272,1,Eden Prairie Public School District,5,742,1,St. Cloud Public School District
23-24,272,1,Eden Prairie Public School District,3,748,1,Sartell-St. Stephen School District
23-24,272,1,Eden Prairie Public School District,1,750,1,ROCORI Public School District
23-24,272,1,Eden Prairie Public School District,5,831,1,Forest Lake Public School District
23-24,272,1,Eden Prairie Public School District,16,833,1,South Washington County Schools
23-24,272,1,Eden Prairie Public School District,2,834,1,Stillwater Area Public Schools
23-24,272,1,Eden Prairie Public School District,1,877,1,Buffalo-Hanover-Montrose Schools
23-24,272,1,Eden Prairie Public School District,2,879,1,Delano Public School District
23-24,272,1,Eden Prairie Public School District,4,883,1,Rockford Public School District
23-24,272,1,Eden Prairie Public School District,1,911,1,Cambridge-Isanti Public School District
23-24,272,1,Eden Prairie Public School District,1,912,1,Milaca Public School District
23-24,272,1,Eden Prairie Public School District,3,2134,1,United South Central School District
23-24,272,1,Eden Prairie Public School District,1,2135,1,Maple River School District
23-24,272,1,Eden Prairie Public School District,4,2142,1,St. Louis County School District
23-24,272,1,Eden Prairie Public School District,1,2155,1,Wadena-Deer Creek School District
23-24,272,1,Eden Prairie Public School District,1,2397,1,Le Sueur-Henderson School District
23-24,272,1,Eden Prairie Public School District,5,2753,1,Long Prairie-Grey Eagle School District
23-24,272,1,Eden Prairie Public School District,1,2835,1,Janesville-Waldorf-Pemberton
23-24,272,1,Eden Prairie Public School District,1,2859,1,Glencoe-Silver Lake School District
23-24,272,1,Eden Prairie Public School District,1,2897,1,Redwood Area School District
23-24,273,1,Edina Public School District,816,1,3,Minneapolis Public School District
23-24,273,1,Edina Public School District,4,11,1,Anoka-Hennepin Public School District
23-24,273,1,Edina Public School District,4,14,1,Fridley Public School District
23-24,273,1,Edina Public School District,1,111,1,Watertown-Mayer Public School District
23-24,273,1,Edina Public School District,7,112,1,Eastern Carver County Public Schools
23-24,273,1,Edina Public School District,43,191,1,Burnsville-Eagan-Savage School District
23-24,273,1,Edina Public School District,1,192,1,Farmington Public School District
23-24,273,1,Edina Public School District,6,194,1,Lakeville Area Schools
23-24,273,1,Edina Public School District,10,196,1,Rosemount-Apple Valley-Eagan
23-24,273,1,Edina Public School District,240,270,1,Hopkins Public School District
23-24,273,1,Edina Public School District,165,271,1,Bloomington Public School District
23-24,273,1,Edina Public School District,76,272,1,Eden Prairie Public School District
23-24,273,1,Edina Public School District,13,276,1,Minnetonka Public School District
23-24,273,1,Edina Public School District,1,277,1,Westonka Public School District
23-24,273,1,Edina Public School District,9,279,1,Osseo Public School District
23-24,273,1,Edina Public School District,260,280,1,Richfield Public School District
23-24,273,1,Edina Public School District,30,281,1,Robbinsdale Public School District
23-24,273,1,Edina Public School District,115,283,1,St. Louis Park Public School District
23-24,273,1,Edina Public School District,6,284,1,Wayzata Public School District
23-24,273,1,Edina Public School District,3,286,1,Brooklyn Center Community Schools
23-24,273,1,Edina Public School District,1,535,1,Rochester Public School District
23-24,273,1,Edina Public School District,2,621,1,Mounds View Public School District
23-24,273,1,Edina Public School District,10,625,1,Saint Paul Public Schools
23-24,273,1,Edina Public School District,5,719,1,Prior Lake-Savage Area Schools
23-24,273,1,Edina Public School District,23,720,1,Shakopee Public School District
23-24,273,1,Edina Public School District,2,761,1,Owatonna Public School District
23-24,276,1,Minnetonka Public School District,1,1,1,Aitkin Public School District
23-24,276,1,Minnetonka Public School District,160,1,3,Minneapolis Public School District
23-24,276,1,Minnetonka Public School District,18,11,1,Anoka-Hennepin Public School District
23-24,276,1,Minnetonka Public School District,2,12,1,Centennial Public School District
23-24,276,1,Minnetonka Public School District,3,13,1,Columbia Heights Public School District
23-24,276,1,Minnetonka Public School District,2,15,1,St. Francis Area Schools
23-24,276,1,Minnetonka Public School District,5,16,1,Spring Lake Park Public Schools
23-24,276,1,Minnetonka Public School District,1,97,1,Moose Lake Public School District
23-24,276,1,Minnetonka Public School District,1,99,1,Esko Public School District
23-24,276,1,Minnetonka Public School District,5,108,1,Central Public School District
23-24,276,1,Minnetonka Public School District,154,110,1,Waconia Public School District
23-24,276,1,Minnetonka Public School District,16,111,1,Watertown-Mayer Public School District
23-24,276,1,Minnetonka Public School District,929,112,1,Eastern Carver County Public Schools
23-24,276,1,Minnetonka Public School District,1,181,1,Brainerd Public School District
23-24,276,1,Minnetonka Public School District,18,191,1,Burnsville-Eagan-Savage School District
23-24,276,1,Minnetonka Public School District,1,194,1,Lakeville Area Schools
23-24,276,1,Minnetonka Public School District,8,196,1,Rosemount-Apple Valley-Eagan
23-24,276,1,Minnetonka Public School District,1,197,1,West St. Paul-Mendota Heights-Eagan
23-24,276,1,Minnetonka Public School District,1,200,1,Hastings Public School District
23-24,276,1,Minnetonka Public School District,3,256,1,Red Wing Public School District
23-24,276,1,Minnetonka Public School District,1190,270,1,Hopkins Public School District
23-24,276,1,Minnetonka Public School District,32,271,1,Bloomington Public School District
23-24,276,1,Minnetonka Public School District,555,272,1,Eden Prairie Public School District
23-24,276,1,Minnetonka Public School District,43,273,1,Edina Public School District
23-24,276,1,Minnetonka Public School District,304,277,1,Westonka Public School District
23-24,276,1,Minnetonka Public School District,32,278,1,Orono Public School District
23-24,276,1,Minnetonka Public School District,124,279,1,Osseo Public School District
23-24,276,1,Minnetonka Public School District,10,280,1,Richfield Public School District
23-24,276,1,Minnetonka Public School District,138,281,1,Robbinsdale Public School District
23-24,276,1,Minnetonka Public School District,4,282,1,St. Anthony-New Brighton Schools
23-24,276,1,Minnetonka Public School District,132,283,1,St. Louis Park Public School District
23-24,276,1,Minnetonka Public School District,244,284,1,Wayzata Public School District
23-24,276,1,Minnetonka Public School District,3,286,1,Brooklyn Center Community Schools
23-24,276,1,Minnetonka Public School District,1,318,1,Grand Rapids Public School District
23-24,276,1,Minnetonka Public School District,1,333,1,Ogilvie Public School District
